example_id,label,n_answer_tokens,mean_logprob,min_logprob,perplexity
0,grounded,2,-0.0003213081508874893,-0.0005598884890787303,1.0003213597758804
0,hallucinated,6,-1.0005038976669312,-2.6800143718719482,2.719651909491795
1,hallucinated,11,-2.9325149059295654,-11.222258567810059,18.774787999142045
2,grounded,2,-9.536674042465165e-06,-1.645074735279195e-05,1.0000095367195168
2,hallucinated,22,-2.7737226486206055,-13.087053298950195,16.01815311229456
3,hallucinated,7,-0.6816627383232117,-4.107339859008789,1.977162504482731
4,hallucinated,5,-4.361880302429199,-14.460160255432129,78.4044199302962
5,hallucinated,8,-0.6431615948677063,-4.152455806732178,1.9024862718264202
6,grounded,4,-0.00010309627396054566,-0.00039748396375216544,1.000103101588564
6,hallucinated,15,-1.921886920928955,-10.01158618927002,6.833841229134183
7,grounded,2,-5.715894076274708e-05,-8.093983342405409e-05,1.0000571605743662
7,hallucinated,9,-2.996772289276123,-10.19923210144043,20.020811134520354
8,grounded,4,-0.006502637639641762,-0.013961154967546463,1.0065238256889495
8,hallucinated,18,-1.7527480125427246,-20.984209060668945,5.770438144405459
9,grounded,7,-0.30103036761283875,-2.1048552989959717,1.351250375163207
9,hallucinated,12,-2.711806535720825,-11.085762977600098,15.056450977282177
10,grounded,2,-8.046010043472052e-05,-0.00015710550360381603,1.0000804633374354
10,hallucinated,15,-1.7955776453018188,-18.588008880615234,6.0229528475645076
11,grounded,2,-0.5058377981185913,-1.011637568473816,1.6583743214986402
11,hallucinated,21,-1.7742445468902588,-10.430647850036621,5.895825433835294
12,hallucinated,20,-0.5973588228225708,-11.60941219329834,1.817312611592359
13,grounded,4,-0.0001564432168379426,-0.00028832568204961717,1.0001564554547162
13,hallucinated,17,-1.6273919343948364,-13.152125358581543,5.090580821643299
14,grounded,3,-0.0067498222924768925,-0.0202474407851696,1.0067726536833363
14,hallucinated,20,-1.7040555477142334,-14.738368034362793,5.496192323761795
15,grounded,4,-8.745797094888985e-05,-0.0003047717036679387,1.0000874617955087
15,hallucinated,14,-2.558368682861328,-10.35940933227539,12.914732098067812
16,grounded,21,-0.29629743099212646,-4.502277374267578,1.3448701033999875
16,hallucinated,13,-3.2870774269104004,-10.771416664123535,26.764527951598975
17,hallucinated,21,-2.763209819793701,-19.883176803588867,15.85063907648955
18,grounded,4,-4.058900231029838e-05,-0.00010978573118336499,1.000040589826055
18,hallucinated,10,-2.254204511642456,-15.359376907348633,9.527711111507978
19,hallucinated,14,-2.3634166717529297,-22.421932220458984,10.627199145069843
20,hallucinated,14,-2.7812118530273438,-17.24835205078125,16.138566673242316
21,grounded,2,-3.39745406563452e-06,-6.556489552167477e-06,1.000003397459837
21,hallucinated,9,-2.23691463470459,-19.761981964111328,9.364394092943623
22,grounded,3,-0.0014454335905611515,-0.004266445990651846,1.0014464787331943
22,hallucinated,16,-0.7422732710838318,-6.9075164794921875,2.1007055638464647
23,grounded,4,-1.0674937963485718,-4.269381523132324,2.9080821134168846
23,hallucinated,9,-6.517996788024902,-12.090944290161133,677.2204096026309
24,grounded,2,-5.072211934020743e-05,-6.806619057897478e-05,1.0000507234057288
24,hallucinated,7,-3.5946757793426514,-8.90917682647705,36.40389517947595
25,hallucinated,18,-2.5445055961608887,-24.234376907348633,12.736929342366937
26,hallucinated,23,-2.01930570602417,-14.551499366760254,7.533092936554839
27,hallucinated,13,-1.8495515584945679,-14.835241317749023,6.356968154944426
28,hallucinated,16,-1.021130084991455,-10.48587703704834,2.776330481225226
29,grounded,2,-0.0005917627131566405,-0.0011826909612864256,1.0005919378392536
29,hallucinated,22,-1.0370270013809204,-18.77181625366211,2.8208182470228467
30,grounded,2,-1.3649355423694942e-05,-1.9192511899746023e-05,1.0000136494485765
30,hallucinated,6,-4.517979145050049,-12.796902656555176,91.65019895076722
31,grounded,2,-0.0002564135065767914,-0.0005109196645207703,1.00025644638333
31,hallucinated,6,-0.5042058825492859,-2.674078941345215,1.6556702016713967
32,hallucinated,20,-1.3088750839233398,-6.7725419998168945,3.7020069219025413
33,hallucinated,13,-0.4535202383995056,-1.9425451755523682,1.5738427470041887
34,grounded,5,-0.20227201282978058,-0.8603944778442383,1.2241809557522279
34,hallucinated,7,-4.750576972961426,-26.078126907348633,115.65099277670313
35,grounded,4,-9.40141108003445e-05,-0.00030739352223463356,1.0000940185302654
35,hallucinated,8,-1.0963666439056396,-3.1535556316375732,2.993270624434062
36,grounded,2,-4.172309218120063e-06,-7.986990567587782e-06,1.0000041723179223
36,hallucinated,14,-0.6831658482551575,-6.599201202392578,1.9801366317404363
37,grounded,2,-0.02237902767956257,-0.044716570526361465,1.0226313165980754
37,hallucinated,8,-2.601559638977051,-10.988146781921387,13.484752989228877
38,hallucinated,27,-0.3335452377796173,-6.941178798675537,1.3959081929004051
39,hallucinated,44,-0.8847596645355225,-19.500009536743164,2.4224021323779596
40,hallucinated,18,-2.368760585784912,-13.347027778625488,10.684141997043026
41,hallucinated,9,-3.1827399730682373,-13.459542274475098,24.112731356602364
42,grounded,2,-2.7298433780670166,-5.459682941436768,15.33048574155526
42,hallucinated,19,-2.6705358028411865,-21.195356369018555,14.447708242440276
43,grounded,2,-9.715507985674776e-06,-1.168244216387393e-05,1.0000097155551815
43,hallucinated,14,-1.9352855682373047,-15.36499309539795,6.926021624786257
44,grounded,3,-8.308226097142324e-05,-0.00019560330838430673,1.0000830857123981
44,hallucinated,24,-1.424107551574707,-8.530474662780762,4.154148824371631
45,grounded,5,-0.0002033984346780926,-0.0005579821881838143,1.0002034191215423
45,hallucinated,5,-0.41149038076400757,-1.1196091175079346,1.5090651916844104
46,grounded,2,-2.424459457397461,-4.848299026489258,11.296121733655646
46,hallucinated,12,-2.4014275074005127,-11.662750244140625,11.038923283238063
47,grounded,2,-6.198863047757186e-06,-7.271740287251305e-06,1.0000061988822608
47,hallucinated,9,-5.61152982711792,-17.919998168945312,273.56242125964314
48,grounded,3,-0.47328197956085205,-1.4197888374328613,1.6052539679723457
48,hallucinated,6,-6.142698287963867,-10.599909782409668,465.30741187543407
49,hallucinated,14,-1.0185136795043945,-8.058696746826172,2.7690759694309306
50,hallucinated,6,-2.1590096950531006,-7.425541400909424,8.662554838451024
51,grounded,9,-0.003177095204591751,-0.02855737879872322,1.0031821475207074
51,hallucinated,23,-0.6053513884544373,-9.501228332519531,1.8318958028382584
52,grounded,2,-0.049305375665426254,-0.095204196870327,1.050541111452245
52,hallucinated,8,-3.7522897720336914,-15.390686988830566,42.618557139804345
53,grounded,3,-0.00029854942113161087,-0.0006121906917542219,1.0002985939914455
53,hallucinated,12,-2.501624345779419,-18.320554733276367,12.202298623807252
54,hallucinated,15,-1.4276912212371826,-11.49268913269043,4.169062628599714
55,hallucinated,22,-0.5801591873168945,-5.479944705963135,1.7863227680465803
56,grounded,3,-1.1523413377290126e-05,-2.992108420585282e-05,1.0000115234797722
56,hallucinated,31,-2.3684661388397217,-12.756121635437012,10.680996547176795
57,grounded,4,-1.1294840078335255e-05,-4.386805812828243e-05,1.0000112949038653
57,hallucinated,8,-2.6037068367004395,-12.881916999816895,13.513738527852697
58,grounded,4,-2.7716032491298392e-06,-1.0132738680113107e-05,1.00000277160709
58,hallucinated,10,-2.846133232116699,-18.757816314697266,17.221063077089905
59,grounded,26,-1.4791852235794067,-8.478551864624023,4.3893678701168675
59,hallucinated,32,-1.3677446842193604,-8.478551864624023,3.9264852379056094
60,grounded,2,-3.516661763569573e-06,-7.033323527139146e-06,1.000003516667947
60,hallucinated,5,-5.700408935546875,-9.00522232055664,298.98964346406547
61,hallucinated,24,-1.2267614603042603,-9.687847137451172,3.410167670442188
62,hallucinated,8,-4.315225601196289,-17.204517364501953,74.83050339088715
63,grounded,2,-1.7432222366333008,-3.486426830291748,5.715731220368946
63,hallucinated,31,-1.5209052562713623,-17.62535858154297,4.5763661046835225
64,hallucinated,7,-1.032435655593872,-3.5411479473114014,2.8078965816647927
65,hallucinated,21,-1.3887221813201904,-12.62479305267334,4.009723078969061
66,grounded,2,-2.0741988919326104e-05,-4.136476854910143e-05,1.000020742204036
66,hallucinated,2,-4.666335105895996,-9.332633018493652,106.30742218336982
67,hallucinated,23,-1.003615140914917,-8.35471248626709,2.728126584683938
68,grounded,4,-0.001207164954394102,-0.004761784803122282,1.0012078938712858
68,hallucinated,6,-3.3802173137664795,-10.437538146972656,29.377154479756054
69,grounded,2,-0.012927588075399399,-0.025822751224040985,1.0130115105907644
69,hallucinated,36,-0.5154035091400146,-15.140674591064453,1.6743139664990108
70,grounded,3,-1.0013432074629236e-05,-2.9801878554280847e-05,1.0000100134822092
70,hallucinated,11,-2.8433377742767334,-17.563337326049805,17.1729895463689
71,hallucinated,13,-1.6691372394561768,-10.09655475616455,5.307586644906472
