setting,layer,depth,frac_coned,median_delta0,median_delta_min,frac_apex_bos,mean_sink_mass,frac_h1_zero,rel_gap,pearson_P0_star,spearman_P0_star,spearman_P0_star_norm,spearman_star_N
truthfulqa_tinyllama,0,0.0,0.0,0.14578664302825928,0.1390976905822754,0.0,0.06812740169900469,0.0,0.05872276202874547,0.9999453354886525,0.9983133378212355,0.9916968248381836,0.9991523694571871
truthfulqa_tinyllama,1,0.047619047619047616,0.0,0.4332144856452942,0.4332144856452942,1.0,0.08276265880342187,0.0006119951040391676,0.17213119631095397,0.9984142694928528,0.9986269761577611,0.8673035190469736,0.9991523694571871
truthfulqa_tinyllama,2,0.09523809523809523,0.0,0.5331850051879883,0.5240993499755859,0.046511627906976744,0.06654797681753528,0.8702570379436965,0.2623220602448572,0.9961043636004931,0.9969647089275754,0.8207775275791132,0.9991523694571871
truthfulqa_tinyllama,3,0.14285714285714285,1.0,0.0,0.0,1.0,0.8329705709840789,1.0,0.0,1.0,1.0,1.0,0.9699097354347036
truthfulqa_tinyllama,4,0.19047619047619047,1.0,0.0,0.0,1.0,0.8767484124164554,1.0,0.0,1.0,1.0,1.0,0.952241357082812
truthfulqa_tinyllama,5,0.23809523809523808,1.0,0.0,0.0,1.0,0.8437940971591813,1.0,0.0,1.0,1.0,1.0,0.962431041257838
truthfulqa_tinyllama,6,0.2857142857142857,1.0,0.0,0.0,1.0,0.7717596676175441,1.0,0.0,0.9999999999999998,1.0,1.0,0.9841536953553107
truthfulqa_tinyllama,7,0.3333333333333333,1.0,0.0,0.0,1.0,0.730998906106823,1.0,0.0,0.9999999999999999,1.0,1.0,0.9717417491315877
truthfulqa_tinyllama,8,0.38095238095238093,1.0,0.0,0.0,1.0,0.6849705483775564,1.0,0.0,0.9999999999999999,1.0,1.0,0.9934707384253438
truthfulqa_tinyllama,9,0.42857142857142855,0.9571603427172583,0.0,0.0,1.0,0.52542900890263,0.9583843329253366,0.0,0.999999298299084,0.99999996424238,0.9999989135184685,0.9908599011254429
truthfulqa_tinyllama,10,0.47619047619047616,0.9987760097919217,0.0,0.0,1.0,0.5345314133752975,1.0,0.0,0.9999999996490377,1.0,1.0,0.9911647821480233
truthfulqa_tinyllama,11,0.5238095238095238,0.0,0.153076171875,0.153076171875,1.0,0.5352402842761957,0.9522643818849449,0.044884491667381864,0.9996972512646665,0.9997000582068039,0.9846480634196653,0.9827233849889329
truthfulqa_tinyllama,12,0.5714285714285714,0.0,0.21007919311523438,0.21007919311523438,1.0,0.4449757300495312,0.9583843329253366,0.04895095025293528,0.9997242837618694,0.999796357603678,0.9713729610601101,0.9854173460207027
truthfulqa_tinyllama,13,0.6190476190476191,0.0,0.21240234375,0.21240234375,1.0,0.4433045218935318,0.95593635250918,0.051309936757452046,0.9996796263262395,0.9996493222703565,0.9615292706135236,0.9833173735187377
truthfulqa_tinyllama,14,0.6666666666666666,0.0,0.2581787109375,0.2581787109375,1.0,0.4164677475101346,0.9571603427172583,0.07680767287525886,0.9992571380362295,0.9992630849629449,0.904898448049841,0.9821812780070323
truthfulqa_tinyllama,15,0.7142857142857143,0.0,0.13708114624023438,0.13708114624023438,1.0,0.49897137285357157,0.9510403916768666,0.03649502215963979,0.9997192462247634,0.9996339884399562,0.9800233860198414,0.9832786516276463
truthfulqa_tinyllama,16,0.7619047619047619,0.0,0.2348499298095703,0.2348499298095703,1.0,0.48143422080939924,0.9473684210526315,0.07564256218017629,0.9993037844165314,0.9991137803960486,0.925544149661758,0.9799799732871292
truthfulqa_tinyllama,17,0.8095238095238095,0.0,0.15134429931640625,0.15134429931640625,1.0,0.5360539369928858,0.7484700122399021,0.04226452287840602,0.9994347953709305,0.9990818020814496,0.9664639452352136,0.976387250773337
truthfulqa_tinyllama,18,0.8571428571428571,0.0,0.23392295837402344,0.23392295837402344,1.0,0.5302955188669726,0.944920440636475,0.07493274566127119,0.9989529474284936,0.9985425331629061,0.9448059983737572,0.959462003693454
truthfulqa_tinyllama,19,0.9047619047619048,0.0,0.17435455322265625,0.17435455322265625,1.0,0.5724856729897295,0.20318237454100369,0.03862012501335721,0.9995134086732971,0.9991258932892125,0.9794682359182418,0.9639070218598582
truthfulqa_tinyllama,20,0.9523809523809523,0.0,0.087738037109375,0.087738037109375,1.0,0.5768149769842905,0.0,0.007289503034446514,0.9999730000439656,0.9999444299079787,0.9989757394794428,0.9728104291232145
truthfulqa_tinyllama,21,1.0,0.0,0.2810077667236328,0.2810077667236328,1.0,0.525127890914488,0.0,0.045536910923106196,0.9996537694473838,0.9992777504001623,0.9796292497303859,0.968515231702072
