mean_logprob,min_logprob,perplexity,n_answer_tokens,example_id,label
-2.3829126358032227,-10.884925842285156,10.83641948680438,8,0,grounded
-3.9453279972076416,-10.072823524475098,51.69329058673914,8,0,hallucinated
-2.204812526702881,-12.93988037109375,9.06855129727193,8,1,grounded
-0.47083163261413574,-1.2895207405090332,1.601325354012513,6,1,hallucinated
-1.840261459350586,-8.523956298828125,6.298184765068884,14,2,grounded
-1.6240977048873901,-13.154584884643555,5.0738388711445035,11,2,hallucinated
-0.6734790802001953,-5.991515636444092,1.9610481097756545,12,3,grounded
-0.5432708263397217,-4.429015636444092,1.7216288118272112,12,3,hallucinated
-1.685547947883606,-7.944439888000488,5.395406524106511,16,4,grounded
-1.1248986721038818,-6.604060173034668,3.0799047528374293,13,4,hallucinated
-2.084939479827881,-6.814563751220703,8.04410463636872,12,5,grounded
-2.270435333251953,-11.991223335266113,9.683615496435316,15,5,hallucinated
-2.413249969482422,-10.219430923461914,11.17020504288458,11,6,grounded
-2.2839653491973877,-14.799595832824707,9.815525327275893,9,6,hallucinated
-1.5702680349349976,-7.240277290344238,4.807936716088136,19,7,grounded
-0.7136041522026062,-7.422956943511963,2.0413352992919487,21,7,hallucinated
-0.7315499186515808,-3.775766134262085,2.0782993075286167,11,8,grounded
-0.8928769826889038,-4.834405899047852,2.442145564633247,12,8,hallucinated
-0.8570526838302612,-3.487644910812378,2.3562059659068466,9,9,grounded
-2.809945821762085,-14.876458168029785,16.609018347062644,10,9,hallucinated
-0.31136834621429443,-3.9151434898376465,1.3652920287270371,16,10,grounded
-0.06606492400169373,-0.5373718738555908,1.0682960729705917,16,10,hallucinated
-0.8402939438819885,-1.9795408248901367,2.3170479587626973,8,11,grounded
-1.2442247867584229,-3.339395523071289,3.4702435775633984,8,11,hallucinated
-0.9518269896507263,-10.095590591430664,2.590438042141207,19,12,grounded
-0.3014967739582062,-3.4565677642822266,1.3518807539072588,17,12,hallucinated
-1.444504976272583,-9.31411075592041,4.239752845005528,14,13,grounded
-1.2804113626480103,-6.249701976776123,3.5981195531627614,13,13,hallucinated
-0.9536299109458923,-3.886310577392578,2.5951126107245805,13,14,grounded
-0.8004433512687683,-3.4983534812927246,2.2265278436456875,11,14,hallucinated
-1.5680419206619263,-7.390304088592529,4.797245603774346,19,15,grounded
-0.3761652112007141,-2.0021181106567383,1.4566877750286011,16,15,hallucinated
-1.0853103399276733,-5.237122535705566,2.9603583936066493,15,16,grounded
-1.324192762374878,-8.801664352416992,3.7591496028801865,16,16,hallucinated
-1.8561474084854126,-7.431124210357666,6.39903634852268,10,17,grounded
-2.1397743225097656,-9.916394233703613,8.497519713556931,11,17,hallucinated
-0.4849015176296234,-2.128127098083496,1.6240150641154492,12,18,grounded
-1.1879478693008423,-7.4138994216918945,3.2803426037393497,15,18,hallucinated
-3.1965909004211426,-7.138150691986084,24.449038754927432,4,19,grounded
-1.0261082649230957,-5.616997241973877,2.79018601296119,8,19,hallucinated
-1.4067165851593018,-11.490962028503418,4.08252873803041,16,20,grounded
-1.049842357635498,-9.584712028503418,2.857200666690033,13,20,hallucinated
-2.577512741088867,-10.995116233825684,13.16435424810872,14,21,grounded
-1.036687970161438,-7.113883972167969,2.8198620636697833,18,21,hallucinated
-5.986398696899414,-9.35367488861084,397.97878382826553,6,22,grounded
-2.8283824920654297,-4.345083236694336,16.918073562730193,6,22,hallucinated
-4.84221076965332,-16.69750213623047,126.74925562250782,6,23,grounded
-2.067291736602783,-6.149069309234619,7.9033896463138715,6,23,hallucinated
-1.5886123180389404,-3.917536497116089,4.896948803693589,11,24,grounded
-1.1219507455825806,-3.651928663253784,3.070838789395965,9,24,hallucinated
-3.2725765705108643,-8.276137351989746,26.379219776126643,15,25,grounded
-1.16738760471344,-8.718612670898438,3.2135865049987964,13,25,hallucinated
-1.0621037483215332,-5.381950378417969,2.8924495790616276,15,26,grounded
-1.1725233793258667,-8.944450378417969,3.2301332147019113,15,26,hallucinated
-1.495320200920105,-7.529588222503662,4.460764665144339,14,27,grounded
-1.1941771507263184,-7.529588222503662,3.300840558470936,13,27,hallucinated
-2.3684170246124268,-7.764488220214844,10.680471971166817,13,28,grounded
-2.3618931770324707,-7.701912879943848,10.611020990075097,12,28,hallucinated
-2.260344982147217,-7.194201469421387,9.58639573176225,9,29,grounded
-0.6278423070907593,-4.281022071838379,1.873563639827503,21,29,hallucinated
-1.7297416925430298,-8.70345401763916,5.639197073625333,17,30,grounded
-1.1392210721969604,-8.380582809448242,3.1243337866763867,13,30,hallucinated
-0.6191954612731934,-6.1895904541015625,1.857433063710872,14,31,grounded
-0.4387180805206299,-5.821210861206055,1.550718048132699,15,31,hallucinated
-4.3429155349731445,-19.93769645690918,76.93150918925525,9,32,grounded
-3.5004539489746094,-13.725088119506836,33.1304880967142,12,32,hallucinated
-0.7019228935241699,-4.464535236358643,2.0176286648433317,10,33,grounded
-2.720376968383789,-12.323895454406738,15.186045825232597,12,33,hallucinated
-1.9428339004516602,-7.242186069488525,6.978499347406288,12,34,grounded
-0.30548280477523804,-2.2271814346313477,1.357280146176282,16,34,hallucinated
-1.0346792936325073,-9.448246002197266,2.814203557884117,13,35,grounded
-2.5573227405548096,-14.135746002197266,12.901231095254937,11,35,hallucinated
-1.5367592573165894,-7.253396987915039,4.649498002484445,7,36,grounded
-2.137376546859741,-13.41114616394043,8.47716897570426,7,36,hallucinated
-0.8216241002082825,-2.9504733085632324,2.2741903528636,11,37,grounded
-1.4655197858810425,-12.73170280456543,4.329793220880093,10,37,hallucinated
-1.1671397686004639,-5.469020843505859,3.212790160896175,11,38,grounded
-1.1187293529510498,-5.406520843505859,3.0609623284673897,7,38,hallucinated
-1.9076318740844727,-8.423425674438477,6.737115554728785,15,39,grounded
-0.9881500601768494,-5.454675674438477,2.6862604527624243,13,39,hallucinated
-0.5384061932563782,-3.873208999633789,1.7132740572357792,13,40,grounded
-1.4006017446517944,-7.457498550415039,4.05764089607108,15,40,hallucinated
-2.4909722805023193,-8.750349998474121,12.073008766837113,9,41,grounded
-1.7513158321380615,-4.796359062194824,5.7621797511348225,11,41,hallucinated
-1.7084261178970337,-8.733866691589355,5.520266388423907,11,42,grounded
-1.8919845819473267,-10.340093612670898,6.632518404666312,15,42,hallucinated
-1.8409479856491089,-10.240670204162598,6.302510119107824,11,43,grounded
-1.6399296522140503,-6.091445446014404,5.15480687022898,12,43,hallucinated
-1.4530651569366455,-9.11972713470459,4.276201677052857,13,44,grounded
-1.0626931190490723,-4.456996440887451,2.894154806630655,14,44,hallucinated
-1.6411160230636597,-11.912871360778809,5.160926011903128,12,45,grounded
-1.7036346197128296,-7.5165300369262695,5.4938793093520415,12,45,hallucinated
-1.1935275793075562,-7.598679542541504,3.2986971230188336,15,46,grounded
-2.974534749984741,-9.301847457885742,19.58051129691263,9,46,hallucinated
-1.1087281703948975,-4.506900787353516,3.0305016606711033,15,47,grounded
-1.0673702955245972,-7.756900787353516,2.9077229850564725,12,47,hallucinated
-1.091217041015625,-5.331169128417969,2.9778960897257334,14,48,grounded
-1.1525683403015137,-6.339310169219971,3.1663146490504372,15,48,hallucinated
-2.7911314964294434,-12.060800552368164,16.299452143659803,15,49,grounded
-1.2837700843811035,-6.617941856384277,3.610224953459675,20,49,hallucinated
-1.2106640338897705,-6.958636283874512,3.355712219515268,12,50,grounded
-4.269320964813232,-8.95408821105957,71.47308639719908,5,50,hallucinated
-3.059109926223755,-7.653566360473633,21.308582508359127,13,51,grounded
-4.820603847503662,-14.992546081542969,124.03996939578995,7,51,hallucinated
-3.1432082653045654,-12.878625869750977,23.178109224087617,10,52,grounded
-1.657740592956543,-6.816125869750977,5.247441334557756,10,52,hallucinated
-3.4589295387268066,-8.648946762084961,31.78293589631103,5,53,grounded
-0.8240734934806824,-2.8571126461029053,2.279767567021092,10,53,hallucinated
-2.2804033756256104,-9.308317184448242,9.780624879603549,13,54,grounded
