mean_logprob,min_logprob,perplexity,n_answer_tokens,example_id,label
-4.335476875305176,-19.91458511352539,76.3613650577421,11,0,grounded
-7.603910446166992,-20.15677261352539,2006.0250303122527,8,0,hallucinated
-3.657580614089966,-17.620365142822266,38.76743593031599,9,1,grounded
-3.6200435161590576,-12.225401878356934,37.33919264494659,8,1,hallucinated
-3.315870523452759,-15.397459030151367,27.54636330542237,17,2,grounded
-2.7957921028137207,-17.56285858154297,16.37559477196451,13,2,hallucinated
-2.735398530960083,-15.942475318908691,15.415885919679148,14,3,grounded
-2.5511038303375244,-11.375838279724121,12.821248457578598,13,3,hallucinated
-3.6936635971069336,-17.765216827392578,40.19182421107458,16,4,grounded
-2.6093666553497314,-18.172155380249023,13.590440692612141,13,4,hallucinated
-4.4986958503723145,-21.359878540039062,89.89981200983367,13,5,grounded
-3.552932024002075,-21.359878540039062,34.91554075737537,17,5,hallucinated
-3.4643168449401855,-13.171278953552246,31.954622352862938,12,6,grounded
-7.276063919067383,-18.438701629638672,1445.2880439679238,9,6,hallucinated
-3.427351474761963,-16.42408561706543,30.794973381520443,20,7,grounded
-2.5829970836639404,-13.677963256835938,13.236750417821895,22,7,hallucinated
-3.1693673133850098,-21.04024314880371,23.792426443711978,13,8,grounded
-2.7136850357055664,-14.749227523803711,15.084761102172871,14,8,hallucinated
-3.3458609580993652,-13.375164985656738,28.385003448115647,11,9,grounded
-5.477302551269531,-24.093759536743164,239.20060498374372,11,9,hallucinated
-0.6546434760093689,-8.134928703308105,1.9244562802208076,18,10,grounded
-1.4907599687576294,-15.375659942626953,4.440468854625209,18,10,hallucinated
-3.526902198791504,-13.231168746948242,34.0184219108479,8,11,grounded
-3.841618537902832,-15.793668746948242,46.600838657085944,8,11,hallucinated
-2.4628243446350098,-16.687637329101562,11.737916689827347,19,12,grounded
-1.6213535070419312,-10.375138282775879,5.059934340563346,18,12,hallucinated
-2.2144062519073486,-8.637689590454102,9.155971156970143,15,13,grounded
-2.4498775005340576,-11.706396102905273,11.586927239883634,17,13,hallucinated
-1.68626070022583,-9.524734497070312,5.3992534835456345,14,14,grounded
-4.030900001525879,-16.377531051635742,56.31156894568118,12,14,hallucinated
-3.2152369022369385,-16.72492218017578,24.909192255601027,21,15,grounded
-4.366316318511963,-15.381823539733887,78.75299577047026,18,15,hallucinated
-2.1463444232940674,-16.20990562438965,8.553533079731794,16,16,grounded
-2.959625244140625,-18.168964385986328,19.2907410824665,17,16,hallucinated
