example_id,label,selfcheck_score
0,grounded,0.6666666666666666
0,hallucinated,1.0
1,grounded,1.0
1,hallucinated,1.0
2,grounded,0.6666666666666666
2,hallucinated,1.0
3,grounded,1.0
3,hallucinated,1.0
4,grounded,1.0
4,hallucinated,1.0
5,grounded,1.0
5,hallucinated,1.0
6,grounded,0.6666666666666666
6,hallucinated,0.3333333333333333
7,grounded,0.6666666666666666
7,hallucinated,0.3333333333333333
8,grounded,0.6666666666666666
8,hallucinated,1.0
9,grounded,0.6666666666666666
9,hallucinated,0.6666666666666666
10,grounded,1.0
10,hallucinated,0.6666666666666666
11,grounded,0.6666666666666666
11,hallucinated,1.0
12,grounded,1.0
12,hallucinated,1.0
13,grounded,0.3333333333333333
13,hallucinated,1.0
14,grounded,1.0
14,hallucinated,1.0
15,grounded,0.6666666666666666
15,hallucinated,1.0
16,grounded,1.0
16,hallucinated,1.0
17,hallucinated,1.0
18,grounded,0.6666666666666666
18,hallucinated,1.0
19,grounded,0.0
19,hallucinated,1.0
20,grounded,1.0
20,hallucinated,0.6666666666666666
21,grounded,1.0
21,hallucinated,0.3333333333333333
22,grounded,1.0
22,hallucinated,1.0
23,grounded,0.6666666666666666
23,hallucinated,1.0
24,grounded,1.0
24,hallucinated,0.0
25,grounded,0.6666666666666666
25,hallucinated,1.0
26,grounded,1.0
26,hallucinated,0.0
27,hallucinated,1.0
28,hallucinated,1.0
29,grounded,0.6666666666666666
29,hallucinated,1.0
30,grounded,0.6666666666666666
30,hallucinated,0.6666666666666666
31,grounded,1.0
31,hallucinated,1.0
32,hallucinated,1.0
33,grounded,0.6666666666666666
33,hallucinated,0.0
34,grounded,1.0
34,hallucinated,1.0
35,grounded,1.0
35,hallucinated,1.0
36,grounded,1.0
36,hallucinated,1.0
37,grounded,1.0
37,hallucinated,1.0
38,grounded,0.6666666666666666
38,hallucinated,1.0
39,grounded,0.6666666666666666
39,hallucinated,0.6666666666666666
40,grounded,0.3333333333333333
40,hallucinated,1.0
41,grounded,0.6666666666666666
41,hallucinated,1.0
42,grounded,1.0
42,hallucinated,1.0
43,grounded,0.6666666666666666
43,hallucinated,1.0
44,grounded,0.6666666666666666
44,hallucinated,0.0
45,grounded,1.0
45,hallucinated,1.0
46,grounded,1.0
46,hallucinated,1.0
47,grounded,1.0
47,hallucinated,1.0
48,grounded,1.0
48,hallucinated,1.0
49,hallucinated,1.0
50,grounded,1.0
50,hallucinated,1.0
51,grounded,1.0
51,hallucinated,0.6666666666666666
52,grounded,1.0
52,hallucinated,1.0
53,grounded,0.3333333333333333
53,hallucinated,1.0
54,grounded,0.6666666666666666
54,hallucinated,1.0
55,grounded,0.6666666666666666
55,hallucinated,0.3333333333333333
56,grounded,0.6666666666666666
56,hallucinated,1.0
57,grounded,0.6666666666666666
57,hallucinated,1.0
58,grounded,1.0
58,hallucinated,1.0
59,grounded,1.0
59,hallucinated,1.0
60,grounded,1.0
60,hallucinated,1.0
61,grounded,0.6666666666666666
61,hallucinated,1.0
62,grounded,1.0
62,hallucinated,1.0
63,grounded,1.0
63,hallucinated,1.0
64,grounded,1.0
64,hallucinated,1.0
65,grounded,0.3333333333333333
65,hallucinated,1.0
66,grounded,1.0
66,hallucinated,1.0
67,hallucinated,1.0
68,grounded,1.0
68,hallucinated,1.0
69,hallucinated,0.6666666666666666
70,grounded,1.0
70,hallucinated,1.0
71,grounded,0.3333333333333333
71,hallucinated,0.3333333333333333
72,grounded,1.0
72,hallucinated,1.0
73,grounded,1.0
73,hallucinated,0.6666666666666666
74,grounded,0.3333333333333333
74,hallucinated,1.0
75,grounded,0.6666666666666666
75,hallucinated,1.0
76,grounded,1.0
76,hallucinated,1.0
77,grounded,0.6666666666666666
77,hallucinated,1.0
78,grounded,1.0
78,hallucinated,1.0
79,grounded,0.3333333333333333
79,hallucinated,0.6666666666666666
80,grounded,1.0
80,hallucinated,0.3333333333333333
81,grounded,1.0
81,hallucinated,1.0
82,grounded,1.0
82,hallucinated,0.6666666666666666
83,grounded,1.0
83,hallucinated,1.0
84,grounded,0.6666666666666666
84,hallucinated,0.3333333333333333
85,grounded,0.6666666666666666
85,hallucinated,0.6666666666666666
86,grounded,0.6666666666666666
86,hallucinated,1.0
87,hallucinated,1.0
88,grounded,0.6666666666666666
88,hallucinated,0.3333333333333333
89,hallucinated,1.0
90,grounded,0.6666666666666666
90,hallucinated,1.0
91,grounded,0.6666666666666666
91,hallucinated,0.6666666666666666
92,grounded,1.0
92,hallucinated,1.0
93,grounded,1.0
93,hallucinated,1.0
94,grounded,1.0
94,hallucinated,1.0
95,grounded,1.0
95,hallucinated,1.0
96,hallucinated,1.0
97,grounded,0.6666666666666666
97,hallucinated,1.0
98,grounded,1.0
98,hallucinated,0.0
99,grounded,0.6666666666666666
99,hallucinated,0.6666666666666666
100,grounded,1.0
100,hallucinated,0.6666666666666666
101,grounded,0.3333333333333333
101,hallucinated,0.3333333333333333
102,grounded,0.6666666666666666
102,hallucinated,1.0
103,hallucinated,0.8333333333333333
104,grounded,1.0
104,hallucinated,1.0
105,grounded,0.0
105,hallucinated,1.0
106,grounded,0.3333333333333333
106,hallucinated,0.0
107,grounded,0.6666666666666666
107,hallucinated,0.6666666666666666
108,grounded,0.6666666666666666
108,hallucinated,0.6666666666666666
